TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Gal_3_type,Gal_3_ABS_Mag,Gal_3_dist,Gal_3_z,Gal_3_info,Reporter,SDSS_image
2024gga,11:14:32.477,-26:37:09.80,2024-04-10 11:16:59.232,2024-04-13,19.73,ABMag,L - GOTO,4.648144027439982,inf,G,999,0.0,0.0,['168.635' '-26.61813' 'G' '0.0' '0.0' '4.648144027439982' 'inf'],,,,,,,,,,,T. Killestein,No
2024ghx,16:02:34.829,+36:52:53.52,2024-04-10 10:50:36.997,2024-04-13,21.0943,ABMag,r - ZTF,5.058988914022874,9.196839172481253,G,-16.775699986996383,374.973,0.0822958911479,"['240.646' '36.88275' 'G' '374.973' '0.0822958911479' '5.058988914022874'
 '9.196839172481253']",,,,,,,,,,,A. Munoz-Arancibia,Yes
2024gkx,19:13:43.510,+45:49:14.41,2024-04-06 23:35:31.200,2024-04-13,18.99,ABMag,G - Gaia,5.499532102438091,5.027070765975163,G,-17.387071952585824,188.544726761,0.026408,"['288.430786' '45.819183' 'G' '188.544726761' '0.026408'
 '5.499532102438091' '5.027070765975163']",,,,,,,,,,,S.T. Hodgkin,No
2024gkf,22:43:31.449,+23:56:11.19,2024-04-04 12:24:08.997,2024-04-13,19.3281,ABMag,r - ZTF,5.549191872052953,4.942793576085834,G,-16.99273932635196,183.724834683,0.041127,"['340.880432' '23.935003' 'G' '183.724834683' '0.041127'
 '5.549191872052953' '4.942793576085834']",,,,,,,,,,,Jesper Sollerman (SU),No
2024gif,12:05:02.242,+19:27:36.66,2024-04-09 08:37:17.999,2024-04-13,21.0024,ABMag,i - ZTF,6.045916010725188,inf,G,999,0.0,0.0,['181.261063' '19.460615' 'G' '0.0' '0.0' '6.045916010725188' 'inf'],,,,,,,,,,,A. Munoz-Arancibia,No
2024gft,09:53:19.716,-18:25:05.32,2024-04-10 07:11:04.704,2024-04-13,20.58,ABMag,r - P1,6.217985133129989,3.261165703830071,G,-14.590741601307116,108.180334572,0.024092,"['148.330353' '-18.417868' 'G' '108.180334572' '0.024092'
 '6.217985133129989' '3.261165703830071']",,,,,,,,,,,D. O. Jones (UC Santa Cruz),No
2024glw,06:10:17.853,+52:53:31.60,2024-04-09 05:48:52.992,2024-04-13,20.3,ABMag,i - P1,6.5305833234236195,16.96797628174302,G,-18.345516033329805,535.924000503,0.114981,"['92.577362' '52.891846' 'G' '535.924000503' '0.114981'
 '6.5305833234236195' '16.96797628174302']",,,,,,,,,,,D. O. Jones (UC Santa Cruz),No
2024ggn,06:42:52.519,-71:47:58.74,2024-04-11 01:55:12.000,2024-04-13,16.7,ABMag,g - Sloan,6.675451308070487,1.9834296289792928,G,-17.236806486559598,61.2860028877,0.022545,"['100.715149' '-71.798195' 'G' '61.2860028877' '0.022545'
 '6.675451308070487' '1.9834296289792928']",,,,,,,,,,,K. Z. Stanek,No
2024gke,14:55:06.083,+46:43:45.42,2024-04-12 08:43:18.002,2024-04-13,18.2584,ABMag,g - ZTF,6.932942646274532,4.205225939702126,G,-17.22808430208527,125.111393239,0.0269841734921,"['223.777' '46.73084' 'G' '125.111393239' '0.0269841734921'
 '6.932942646274532' '4.205225939702126']",,,,,,,,,,,A. Munoz-Arancibia,Yes
2024gkd,23:16:38.692,+15:53:58.29,2024-04-12 12:24:35.004,2024-04-13,17.8716,ABMag,r - ZTF,7.18275488432563,3.792423125110447,G,-17.313654365887466,108.905765788,0.028968,"['349.160675' '15.897599' 'G' '108.905765788' '0.028968'
 '7.18275488432563' '3.792423125110447']",,,,,,,,,,,A. Munoz-Arancibia,No
2024ggr,23:39:36.690,-38:39:56.59,2024-04-06 19:13:26.400,2024-04-13,18.87,ABMag,G - Gaia,7.58604146623672,25.798229049593804,G,-20.35999907619078,701.455,0.14729932365,"['354.900208' '-38.666042' 'G' '701.455' '0.14729932365'
 '7.58604146623672' '25.798229049593804']",,,,,,,,,,,S.T. Hodgkin,No
2024gjj,16:21:48.702,+42:57:48.39,2024-04-09 06:29:08.002,2024-04-13,21.1307,ABMag,g - ZTF,8.108625566596476,24.57662973772521,G,-17.84930106711148,625.173,0.132557106279,"['245.456' '42.96354' 'G' '625.173' '0.132557106279' '8.108625566596476'
 '24.57662973772521']",,,,,,,,,,,A. Munoz-Arancibia,Yes
2024gll,14:50:54.881,-19:22:32.14,2024-03-18 13:19:28.416,2024-04-13,21.02,ABMag,w - P1,8.268372005466079,6.309048706416705,G,-14.964845027577415,157.387053735,0.036141,"['222.730942' '-19.374767' 'G' '157.387053735' '0.036141'
 '8.268372005466079' '6.309048706416705']",,,,,,,,,,,K. C. Chambers,No
2024ghh,10:15:52.205,-00:02:39.58,2024-04-04 05:35:12.002,2024-04-13,20.279,ABMag,g - ZTF,9.735154288912142,32.041518591826204,G,-18.87997692700571,678.883706274,0.142963,"['153.966034' '-0.042069' 'G' '678.883706274' '0.142963'
 '9.735154288912142' '32.041518591826204']",,,,,,,,,,,A. Munoz-Arancibia,Yes
