TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter
2020afgj*,10:25:17.929,+56:10:41.43,2020-04-26 05:25:26.400,2023-11-09,20.57,ABMag,g - ZTF,0.467770699055969,3.9067248065353084,Galaxy,-20.611024695260866,1722.681298613147,0.44297,"['156.3245' '56.178112' 'Galaxy' '1722.681298613147' '0.44297'
 '0.467770699055969' '3.9067248065353084']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2019aatv*,08:22:41.886,+29:38:04.68,2019-04-29 03:59:02.400,2023-11-09,17.13,ABMag,r - ZTF,0.5617926236612137,1.614159081780719,Galaxy,-21.733977172465945,592.6461050342987,0.14146,"['125.674635' '29.63451' 'Galaxy' '592.6461050342987' '0.14146'
 '0.5617926236612137' '1.614159081780719']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2020afgl*,17:03:19.768,+61:35:39.46,2020-03-06 12:38:52.800,2023-11-09,20.24,ABMag,r - ZTF,0.5661757038944581,1.2227935494271187,Galaxy,-18.004135217590605,445.4788024620135,0.10545,"['255.832551' '61.594425' 'Galaxy' '445.4788024620135' '0.10545'
 '0.5661757038944581' '1.2227935494271187']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wxa*,08:22:31.157,+33:44:17.22,2023-10-15 10:48:00.000,2023-11-09,19.83,ABMag,g - ZTF,0.7565955425997835,1.3454450356505256,Galaxy,-17.992136577054247,366.7983010411531,0.08645,"['125.629636' '33.73826' 'Galaxy' '366.7983010411531' '0.08645'
 '0.7565955425997835' '1.3454450356505256']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2018mlb,17:40:11.380,+55:25:44.76,2018-04-27 11:12:28.800,2023-11-09,20.13,ABMag,g - ZTF,0.7900246288828888,2.2192980302471814,Galaxy,-18.685000651582403,579.4288702930545,0.1382,"['265.047331' '55.429314' 'Galaxy' '579.4288702930545' '0.1382'
 '0.7900246288828888' '2.2192980302471814']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2018mlc,08:51:44.885,+48:29:37.26,2018-11-15 12:37:26.400,2023-11-09,19.21,ABMag,r - ZTF,0.8091658605254627,1.330244945815217,Galaxy,-18.441595997589943,339.0932927345108,0.0798,"['132.936684' '48.493657' 'Galaxy' '339.0932927345108' '0.0798'
 '0.8091658605254627' '1.330244945815217']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xay*,10:19:06.069,+48:55:06.48,2023-10-16 11:57:07.200,2023-11-09,19.16,ABMag,r - ZTF,0.8163934247092482,2.2110417465949017,Galaxy,-19.575612887532802,558.6278424813721,0.13308,"['154.775156' '48.918257' 'Galaxy' '558.6278424813721' '0.13308'
 '0.8163934247092482' '2.2110417465949017']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wxm,08:49:14.087,+19:39:42.55,2023-10-05 11:42:43.200,2023-11-09,19.21,ABMag,r - ZTF,0.8260839590449139,2.706702914203298,Galaxy,-19.939207673224907,675.8363312605974,0.1621,"['132.308924' '19.6619' 'Galaxy' '675.8363312605974' '0.1621'
 '0.8260839590449139' '2.706702914203298']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xac,00:36:13.444,+18:23:43.87,2023-10-17 05:05:16.800,2023-11-09,20.85,ABMag,g - ZTF,0.8994245263837957,2.120960893440293,Galaxy,-17.58496534014251,486.3994419870682,0.1154,"['9.055766' '18.395443' 'Galaxy' '486.3994419870682' '0.1154'
 '0.8994245263837957' '2.120960893440293']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wwq,07:47:41.362,-00:52:47.45,2023-10-07 12:04:19.200,2023-11-09,19.76,ABMag,r - ZTF,0.8996525012250879,2.3960577592643526,Galaxy,-18.939238121887033,549.3480969558371,0.1308,"['116.922456' '-0.879625' 'Galaxy' '549.3480969558371' '0.1308'
 '0.8996525012250879' '2.3960577592643526']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xcg,22:43:37.179,+19:33:49.91,2023-10-21 06:08:38.400,2023-11-09,20.69,ABMag,g - ZTF,1.033774909095706,2.1985829625762547,Galaxy,-17.520710021214644,438.6741106075095,0.1038,"['340.905199' '19.563766' 'Galaxy' '438.6741106075095' '0.1038'
 '1.033774909095706' '2.1985829625762547']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wyk,03:03:35.949,+06:17:50.60,2023-10-11 09:25:55.200,2023-11-09,20.44,ABMag,g - ZTF,1.0400232221894317,2.7103206459270135,Galaxy,-18.212013849813676,537.5300771829063,0.1279,"['45.899503' '6.297448' 'Galaxy' '537.5300771829063' '0.1279'
 '1.0400232221894317' '2.7103206459270135']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xbo*,09:46:14.338,+10:51:14.47,2023-10-27 11:34:04.800,2023-11-09,19.69,ABMag,r - ZTF,1.0784851855285833,2.6197276704044428,Galaxy,-18.80933548303508,501.033883088132,0.11897,"['146.559875' '10.85375' 'Galaxy' '501.033883088132' '0.11897'
 '1.0784851855285833' '2.6197276704044428']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xad,11:19:02.072,+00:25:23.49,2023-10-24 12:47:31.200,2023-11-09,19.66,ABMag,r - ZTF,1.1136246926353928,8.891277089096167,Galaxy,-21.423252129875717,1646.8362799430565,0.4211,"['169.758694' '0.423495' 'Galaxy' '1646.8362799430565' '0.4211'
 '1.1136246926353928' '8.891277089096167']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wwb,09:59:55.703,+03:05:57.66,2023-10-07 12:34:33.600,2023-11-09,19.67,ABMag,r - ZTF,1.2134665746234017,4.2957209421496865,Galaxy,-19.647166880955147,730.1857886774134,0.1757,"['149.981762' '3.0993' 'Galaxy' '730.1857886774134' '0.1757'
 '1.2134665746234017' '4.2957209421496865']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xbi,02:21:10.684,-16:35:29.30,2023-11-08 08:48:51.264,2023-11-09,19.44,ABMag,r - P1,1.3250784249348762,1.9608534069251025,Galaxy,-17.983143387311596,305.23102666465184,0.0717,"['35.294714' '-16.591788' 'Galaxy' '305.23102666465184' '0.0717'
 '1.3250784249348762' '1.9608534069251025']",,,,,,D. O. Jones (UC Santa Cruz)
2023xal*,08:17:21.271,+55:23:37.99,2023-10-24 10:09:07.200,2023-11-09,19.8,ABMag,r - ZTF,1.4402051598288723,3.1208332131839787,Galaxy,-18.45135664957328,446.96274948294104,0.10581,"['124.33891' '55.394253' 'Galaxy' '446.96274948294104' '0.10581'
 '1.4402051598288723' '3.1208332131839787']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
