TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Gal_3_type,Gal_3_ABS_Mag,Gal_3_dist,Gal_3_z,Gal_3_info,Reporter,SDSS_image
2024hzw,08:11:49.223,+27:34:51.71,2024-04-29 04:20:41.000,2024-05-04,19.9234,ABMag,g - ZTF,2.9426724180163917,26.479291006324356,Galaxy,-21.419547835529116,1856.0495539824778,0.4821,"['122.954811' '27.581808' 'Galaxy' '1856.0495539824778' '0.4821'
 '2.9426724180163917' '26.479291006324356']",,,,,,,,,,,Veda Arikatla (UC Berkeley),No
2024hze,17:22:44.261,+60:36:45.07,2024-05-03 09:18:31.000,2024-05-04,19.7339,ABMag,g - ZTF,3.0062475196183236,3.8735845491716527,Galaxy,-17.388667187929734,265.774578208628,0.0623,"['260.685325' '60.611812' 'Galaxy' '265.774578208628' '0.0623'
 '3.0062475196183236' '3.8735845491716527']",,,,,,,,,,,A. Munoz-Arancibia,No
2024hzt,23:41:59.336,+20:58:37.41,2024-04-30 11:38:10.996,2024-05-04,19.5971,ABMag,r - ZTF,3.3619619846331523,5.8869794132606375,Galaxy,-18.191524259603245,361.1809632642604,0.0851,"['355.498191' '20.976789' 'Galaxy' '361.1809632642604' '0.0851'
 '3.3619619846331523' '5.8869794132606375']",,,,,,,,,,,Veda Arikatla (UC Berkeley),No
2024hxa,08:08:43.238,+28:13:26.53,2024-05-03 04:25:40.998,2024-05-04,19.5474,ABMag,r - ZTF,4.009378811106577,7.835866354933354,Galaxy,-18.479775312797837,403.120665729577,0.0952,"['122.179197' '28.223313' 'Galaxy' '403.120665729577' '0.0952'
 '4.009378811106577' '7.835866354933354']",,,,,,,,,,,Daniel Perley (LJMU),No
2024hwr,07:48:24.792,+18:41:38.35,2024-04-29 04:21:20.736,2024-05-04,19.57,ABMag,r - ZTF,4.14598900307791,4.2549937022115625,Galaxy,-17.0584795449329,211.68783876202994,0.04948,"['117.10401' '18.694921' 'Galaxy' '211.68783876202994' '0.04948'
 '4.14598900307791' '4.2549937022115625']",,,,,,,,,,,J. Nordin,Yes
2024hxp,10:33:13.372,+79:44:09.92,2024-04-30 06:18:48.997,2024-05-04,20.1558,ABMag,r - ZTF,5.294143848815003,13.262158357283697,Galaxy,-18.410418025148644,516.7061194743791,0.1228,"['158.298238' '79.736711' 'Galaxy' '516.7061194743791' '0.1228'
 '5.294143848815003' '13.262158357283697']",,,,,,,,,,,Daniel Perley (LJMU),No
2024hym,14:53:00.666,+48:14:58.75,2024-05-03 10:40:08.256,2024-05-04,20.2,ABMag,g - P1,5.377229318973008,16.92766670377989,Galaxy,-18.86231837343073,649.3273181873203,0.1555,"['223.254278' '48.248544' 'Galaxy' '649.3273181873203' '0.1555'
 '5.377229318973008' '16.92766670377989']",,,,,,,,,,,D. O. Jones (UC Santa Cruz),No
2024hwt,11:20:26.766,+62:07:17.27,2024-05-02 23:06:57.024,2024-05-04,20.58,ABMag,L - GOTO,5.768378643991983,inf,Galaxy,-inf,inf,inf,['170.114926' '62.121268' 'Galaxy' 'inf' 'inf' '5.768378643991983' 'inf'],,,,,,,,,,,K. Ackley,No
2024hyk,08:35:51.781,+35:26:38.97,2024-04-29 04:19:18.998,2024-05-04,20.2303,ABMag,g - ZTF,5.980873395283977,11.953046312557841,Galaxy,-17.845395630722287,412.2295555973,0.0974,"['128.964623' '35.442776' 'Galaxy' '412.2295555973' '0.0974'
 '5.980873395283977' '11.953046312557841']",Galaxy,-17.40034933536044,335.8380248686023,0.07902,"['128.96744' '35.446136' 'Galaxy' '335.8380248686023' '0.07902'
 '8.66799872057029' '14.113137488835239']",Galaxy,-20.48490208909608,1390.0819938250033,0.349,"['128.962365' '35.444362' 'Galaxy' '1390.0819938250033' '0.349'
 '9.966916404140278' '67.17011630863853']",Veda Arikatla (UC Berkeley),Yes
2024hyw,09:28:45.513,-02:55:21.27,2024-05-03 04:30:25.998,2024-05-04,19.9018,ABMag,r - ZTF,6.318257375984981,9.913703523553385,Galaxy,-17.648518735152678,323.6411584512747,0.0761,"['142.189771' '-2.920825' 'Galaxy' '323.6411584512747' '0.0761'
 '6.318257375984981' '9.913703523553385']",,,,,,,,,,,A. Munoz-Arancibia,No
2024hzk,14:14:36.015,+48:34:57.42,2024-04-30 07:49:22.996,2024-05-04,20.8936,ABMag,g - ZTF,7.979807215616847,61.132685798307236,Galaxy,-20.09993105162991,1580.178725081726,0.4021,"['213.646901' '48.583351' 'Galaxy' '1580.178725081726' '0.4021'
 '7.979807215616847' '61.132685798307236']",,,,,,,,,,,A. Munoz-Arancibia,No
2024hxl,08:29:23.709,+05:40:12.92,2024-04-29 04:37:11.999,2024-05-04,20.1041,ABMag,r - ZTF,8.529007044730339,46.16622627536453,Galaxy,-20.135155179680847,1116.4802266618467,0.2752,"['127.347609' '5.668197' 'Galaxy' '1116.4802266618467' '0.2752'
 '8.529007044730339' '46.16622627536453']",,,,,,,,,,,Daniel Perley (LJMU),No
2024hwq,09:54:13.770,+00:38:24.65,2024-05-03 04:06:34.272,2024-05-04,19.52,ABMag,r - ZTF,8.79179760428414,6.342988539521347,Galaxy,-16.3432068913806,148.81317349617655,0.03467,"['148.558944' '0.638309' 'Galaxy' '148.81317349617655' '0.03467'
 '8.79179760428414' '6.342988539521347']",,,,,,,,,,,J. Nordin,Yes
2024hxd,12:20:58.428,-00:50:23.82,2024-05-01 07:03:44.997,2024-05-04,19.5714,ABMag,g - ZTF,9.16653098561052,72.12983993902279,Galaxy,-21.480275454258713,1623.061928688097,0.4143,"['185.24137' '-0.838481' 'Galaxy' '1623.061928688097' '0.4143'
 '9.16653098561052' '72.12983993902279']",,,,,,,,,,,Daniel Perley (LJMU),Yes
2024hyb,14:24:54.220,+17:08:52.86,2024-05-03 10:38:53.952,2024-05-04,19.063,ABMag,orange - ATLAS,9.835174146210393,20.070208369368096,Galaxy,-19.057974802196572,420.91554043728,0.0995,"['216.224383' '17.145711' 'Galaxy' '420.91554043728' '0.0995'
 '9.835174146210393' '20.070208369368096']",,,,,,,,,,,J. Tonry,Yes
