tns_name,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023xcz,ZTF23abohslq,,0.28,0.47,19.6665,19.1932,2023-11-14T10:35:02.002548,8.0,8.0,,fading,NT,0.85,19.3924,19.1347,19.1339,18.9616,0.17,0.0550417,60250.4,60262.4,125.87603702142857,0.9686057142857143
2023xdb,ZTF23abnnwwg,,0.56,0.34,19.8337,19.4934,2023-11-04T09:32:56.996154,4.0,4.0,,fading,NT,0.17,19.8337,19.0452,18.3863,18.2937,0.09,0.0473333,60244.5,60252.4,67.43704632500001,-25.05064015
2023xde,ZTF23aboffvn,,0.12,0.29,20.0178,19.7265,2023-11-11T03:44:28.999687,8.0,8.0,,,SN,0.74,19.829,19.7265,19.3364,18.5368,0.8,,60250.2,60259.2,327.4141879777778,16.528524133333335
2023xdf,ZTF23aboewqx,,0.23,0.06,19.3742,19.3109,2023-11-14T03:50:13.001281,7.0,7.0,,,SN,2.21,19.3489,19.1899,18.8818,18.101,0.78,0.0210417,60250.2,60262.2,278.0276864625,76.705212475
2023xdg,ZTF23abognaz,,0.15,0.35,20.0404,19.6906,2023-11-13T06:59:06.002891,7.0,7.0,,fading,SN,0.33,19.7193,19.5552,19.3875,18.2852,1.1,0.000833333,60250.3,60261.3,21.070023266666666,25.41103556666667
2023xdi,ZTF23abonlwv,,,,,19.5309,2023-11-05T12:53:37.000335,6.0,6.0,,fading,SN,2.12,,19.2396,19.6766,19.1497,0.53,0.02775,60251.5,60253.5,169.51647311111108,-8.457650666666668
2023xdk,ZTF23aboibwc,,0.22,0.61,19.9294,19.3202,2023-11-12T11:47:51.000007,5.0,5.0,,fading,SN,1.04,19.5247,19.2719,21.8255,21.7996,0.03,0.00125,60250.4,60260.5,157.15030168888887,41.37084798888889
2023xdl,ZTF23abovaed,,,,19.563,,2023-11-04T11:36:37.995857,1.0,1.0,,,SN,2.65,19.563,,18.4781,17.7071,0.77,0.0114583,60244.5,60252.5,144.47832666666667,10.3753411
2023xdm,ZTF18aacgtmn,,0.05,0.03,19.9507,19.9207,2023-11-15T10:21:40.996795,7.0,6.0,,fading,NT,1.1,19.323,19.6185,18.8103,17.9151,0.9,0.0588333,60242.5,60263.4,134.9654089,47.81590991428572
2023xdn,ZTF23abniwtg,,0.18,0.25,19.646,19.401,2023-11-09T12:29:41.999992,9.0,8.0,,fading,NT,0.66,18.9536,19.2747,18.7348,17.9736,0.76,0.0025,60242.5,60257.5,141.76346545,8.13175295
2023xdo,ZTF23abniwuq,,0.26,0.24,20.0531,19.8116,2023-11-12T09:20:40.997772,7.0,6.0,,fading,NT,0.32,19.6595,19.5862,20.1324,19.896,0.24,,60242.5,60260.4,151.58492479999998,56.299135957142845
2023xdr,ZTF23abohxme,,-0.01,0.17,20.1981,20.0232,2023-11-06T11:15:09.002891,3.0,3.0,,fading,SN,0.23,19.76,19.6919,21.3395,20.8501,0.49,0.001875,60233.5,60254.5,151.7810317625,62.5085776125
2023xdt,ZTF23abnrkdy,,0.26,0.14,18.8344,18.6906,2023-12-12T11:37:01.004142,3.0,2.0,,,AGN,0.35,18.8344,18.5686,17.2767,17.0156,0.26,0.0777917,60266.5,60290.5,170.25597655,-11.366978224999999
2023xdu,ZTF23aapcqza,,0.11,0.11,19.9187,19.8116,2023-11-15T02:43:26.996170,7.0,3.0,rising/peak,,SN,0.13,19.8401,19.7213,20.3153,20.1276,0.19,0.132836,60233.2,60263.1,332.34663316923076,-9.43211660769231
2023xdv,ZTF23abeybte,,,,,19.721,2023-11-05T06:58:39.996475,3.0,1.0,,,SN,0.43,,19.721,18.1067,17.5262,0.58,0.033125,60234.3,60253.3,35.64408993333333,2.2546697
