TNS_ID,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023yuk,ZTF23abrydfo,,-0.06,0.03,19.0928,19.0675,2023-12-12T03:35:14.000640,3.0,3.0,,fading,SN,22.72,18.8823,18.9538,19.7842,19.7069,0.08,0.0122083,60284.1,60290.1,352.30219582000007,-8.959021779999999
2023yum,ZTF23abrzssa,,0.14,0.03,19.3309,19.2963,2023-12-13T04:23:47.002548,10.0,10.0,,fading,NT,0.38,19.1679,19.04,20.1202,20.2162,-0.1,0.0780774,60285.2,60291.2,13.761938527272726,0.9514122909090912
2023yun,ZTF23abryswc,,0.33,0.54,19.7739,19.2328,2023-12-12T05:08:50.000640,4.0,4.0,,fading,SN,1.47,19.4918,19.2328,18.91,18.7767,0.13,,60284.1,60290.2,7.467307583333333,14.471158916666669
2023yvc,ZTF23abseopf,,-0.08,-0.04,19.1445,19.1836,2023-12-17T06:32:24,8.0,8.0,,,VS,1.11,18.9852,19.0054,18.77,18.1177,0.65,0.00375,60287.1,60295.3,20.7115790625,21.305846375
2023yvf,ZTF23absazki,,0.01,0.13,20.1036,19.9704,2023-12-12T05:51:01.995834,2.0,2.0,,,SN,2.37,19.9069,19.9671,21.974,21.3538,0.62,,60285.2,60290.2,16.594255,9.71243824
2023yvx,ZTF23abryffa,,0.16,0.27,19.5685,19.3034,2023-12-12T05:28:58.995849,3.0,3.0,,fading,SN,2.94,19.2897,19.3034,21.151,21.2475,-0.1,0.5,60284.1,60290.2,349.67869212,19.39228518
2023ywg,ZTF23absevxk,SN Ia,0.39,0.74,19.6352,18.8996,2023-12-18T06:23:18.003845,5.0,5.0,,fading,SN,3.53,18.8589,18.6447,-999.0,-999.0,0.0,0.5,60287.2,60296.3,38.91939441428571,3.308900385714286
2023ywl,ZTF23abtxmsc,,,,,20.9286,2023-12-14T02:58:28.001266,1.0,1.0,,,SN,2.5,,20.9286,20.3682,19.7104,0.66,0.0075,60292.1,60292.1,46.9988878,19.1610018
2023ywm,ZTF23absevkx,,0.59,0.64,20.3549,19.7155,2023-12-16T04:08:01.000312,5.0,5.0,,fading,SN,0.46,19.9692,19.7155,21.3788,21.0841,0.29,,60287.2,60294.2,38.96085724666666,25.55413735333333
2023ywu,ZTF23absiydp,,0.35,0.63,18.8784,18.2524,2023-12-13T10:48:54.000007,2.0,2.0,,fading,SN,0.2,18.4128,18.2524,21.1822,20.8079,0.37,0.00125,60287.4,60291.5,189.590059125,54.41708485
2023yww,ZTF18aakdxos,,0.02,0.18,18.6479,18.4709,2023-12-13T10:49:35.999053,2.0,2.0,,,NT,0.06,18.4526,18.4709,18.9076,18.2076,0.7,0.0025,60287.4,60291.5,204.85218476,51.23724198
2023yww,ZTF23absjbmi,,,,,18.587,2023-12-09T10:43:09.998413,,,,,NT,1.03,,18.587,18.9076,18.2076,0.7,0.0025,60287.4,60287.4,204.8525714,51.2372511
2023ywx,ZTF18aabuoxd,,-0.4,-0.32,18.2485,18.5724,2023-12-13T12:19:26.002563,2.0,2.0,rising/peak,,NT,0.15,18.2485,18.5724,19.1499,18.5323,0.62,0.0141667,60287.4,60291.5,166.970222675,44.362469975
2023ywy,ZTF23absdxaw,,0.14,0.22,19.0324,18.8107,2023-12-13T10:51:41.002555,2.0,2.0,,fading,SN,0.28,18.8297,18.8107,21.1553,20.4984,0.66,0.002,60287.4,60291.5,190.199750425,62.83074135
2023yxg,ZTF23abseonq,,0.31,0.04,20.1696,20.1291,2023-12-16T04:58:58.998733,4.0,4.0,,fading,SN,4.33,19.7909,19.5357,21.1666,21.023,0.14,0.00125,60287.1,60294.2,18.231270419047625,44.005015509523815
2023yxh,ZTF23abrzxiy,,0.27,0.4,20.3108,19.9092,2023-12-17T06:40:35.996162,25.0,25.0,,fading,SN,0.5,19.7008,19.5933,19.526,18.5257,1.0,0.025125,60284.2,60295.3,50.86352943225807,5.816591925806452
