tns_name,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023aaiq,ZTF23abhwkkv,,-0.01,0.52,21.0052,20.4883,2023-10-22T08:09:57.003852,4,4,,fading,SN,0.7,20.3736,20.3369,21.0903,20.6887,0.4,0.011375,60221.2,60239.3,351.9992577153846,23.40328933846154
2023aaix,ZTF23abtlndv,,,,,18.5362,2023-12-17T12:04:21.999343,1,1,,fading,VS,1.18,,18.0218,17.8868,17.2834,0.6,0.0726548,60290.4,60295.5,144.61615074999997,-8.77809285
2023aaiy,ZTF23abtlnrc,,0.53,-0.23,18.1197,18.3535,2023-12-28T10:05:09.003822,3,2,rising/peak,,SN,3.12,18.1197,18.3535,18.9322,-999.0,1017.93,0.5,60290.5,60306.4,140.28265373333332,-10.755326933333334
2023aajd,ZTF23aaktozi,,,,,18.7666,2023-12-17T13:22:42.997421,1,1,,fading,NT,0.49,,18.2312,18.0184,17.3025,0.72,0.14622,60287.6,60295.6,227.52960636666663,10.1110659
2023aajg,ZTF23abuxjtp,,-0.27,-0.63,18.6215,19.2487,2023-12-28T05:14:54.003852,3,3,rising/peak,,VS,0.57,18.6215,19.2487,18.4336,17.6374,0.8,0.00375,60295.2,60306.2,75.03568716666666,-9.713914733333334
2023aajr,ZTF23abtuayu,,,,19.8823,,2023-12-13T11:06:53.999977,1,1,,,SN,3.02,19.8404,,19.2252,18.3288,0.9,0.00125,60287.5,60291.5,172.6384005,1.2565076
2023aajs,ZTF23abvbgrk,,,,,17.9018,2023-12-17T12:03:41.002540,1,1,,,VS,0.47,,17.9018,17.4157,16.6888,0.73,0.07825,60290.4,60295.5,151.0547257,-9.68064755
2023aajw,ZTF23abuxykz,,,,,19.712,2023-12-17T06:08:41.000633,1,1,,,SN,4.72,,19.712,18.7209,17.8967,0.82,0.025,60295.3,60295.3,82.1366443,-5.103848
2023aakd,ZTF23abvfibj,,0.07,0.07,20.4093,20.3399,2023-12-18T10:06:57.003837,1,1,rising/peak,,NT,1.44,20.4093,20.3399,20.5093,20.1261,0.38,0.00166667,60291.4,60296.4,131.79185669999998,10.342762700000002
2023aake,ZTF23abudhva,,0.11,0.03,20.4143,20.3876,2023-12-15T12:58:31.995834,3,3,rising/peak,,SN,0.6,20.3918,20.3876,20.0976,19.3926,0.71,0.00391667,60292.4,60293.5,116.5594254,34.69094725
2023aakg,ZTF23absdmgt,,0.33,0.21,20.1391,19.9313,2023-12-13T10:34:58.995841,4,4,,fading,SN,0.48,20.0012,19.6015,19.773,19.2967,0.48,0.00133333,60287.4,60291.4,143.7876335,22.29234212
2023aakh,ZTF23abtowce,,,,18.3838,,2023-12-27T04:07:23.001609,1,1,,,SN,0.18,18.3838,,21.1511,20.9841,0.17,0.00333333,60305.2,60305.2,29.3273856,-3.376225
