TNS_ID,ZTF_ID,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023zry,ZTF23abtmosj,,0.02,0.03,19.831,19.799,2023-12-12T13:06:03.003852,1.0,1.0,rising/peak,,SN,0.88,19.831,19.799,21.6739,21.1303,0.54,0.00416667,60288.5,60290.5,185.964736575,0.7128557249999999
2023zrz,ZTF23absqevn,,-0.21,-0.2,18.6418,18.846,2023-12-13T12:03:45.002883,6.0,6.0,rising/peak,,VS,0.13,18.6418,18.846,17.9995,17.3149,0.68,0.0141667,60287.5,60291.5,144.91494163,-23.35240058
2023zsa,ZTF23absiqvj,,,,,19.0355,2023-12-12T10:34:11.000648,2.0,2.0,,,SN,0.37,,19.0355,18.1213,17.7399,0.38,0.0619464,60287.4,60290.4,140.55459365000002,-20.00843285
2023zsc,ZTF23absduwf,,-0.03,-0.0,19.1925,19.1936,2023-12-17T12:05:42.999343,5.0,5.0,,,VS,1.08,19.0039,19.006,18.5535,17.9304,0.62,0.0534583,60288.4,60295.5,137.38650560000002,-14.75164742
2023zsd,ZTF23abtcedd,,,,,19.6736,2023-12-12T03:46:52.000320,1.0,1.0,,,SN,0.57,,19.6736,22.8425,21.8659,0.98,0.00645833,60285.1,60290.2,310.24810815,28.6818119
2023zsf,ZTF23abryqlz,,-0.31,-0.31,19.6921,19.9988,2023-12-12T02:59:41.000625,2.0,2.0,rising/peak,,SN,0.23,19.6921,19.9988,21.5732,21.1209,0.45,0.0542917,60284.1,60290.1,329.6503748,0.11523295
2023zsh,ZTF23abpzwsn,,0.76,0.83,20.1332,19.3002,2023-12-12T12:35:58.004150,2.0,2.0,rising/peak,,VS,0.19,20.1332,19.3002,19.2265,18.7959,0.43,0.0175,60288.5,60290.5,168.02154829999998,-13.699316599999998
2023zsi,ZTF22abfzqae,,-0.03,-0.12,19.5769,19.6992,2023-12-17T06:31:43.996795,5.0,5.0,,,AGN,0.46,19.5769,19.6302,19.0107,18.6466,0.36,0.350679,60285.2,60295.3,15.82704732,10.59067062
2023zsk,ZTF23abrqyxc,,,,19.7266,,2023-12-12T02:12:23.002540,3.0,2.0,,fading,SN,0.72,19.0601,,18.5478,17.8172,0.73,0.00666667,60268.1,60290.1,353.10391,-25.479861125
2023zsl,ZTF18acfviqu,,-0.02,-0.02,18.6266,18.6473,2018-11-09T07:00:51.998420,,,rising/peak,,NT,1.24,18.6266,18.6473,16.4702,16.0345,0.44,0.156149,58431.2,58431.3,45.93043255,-15.4842826
2023zsl,ZTF18achopss,,0.67,0.59,19.2466,18.6587,2023-11-09T08:58:37.004150,3.0,1.0,rising/peak,,NT,1.08,19.2466,18.6587,16.4702,16.0345,0.44,0.156149,60228.4,60257.4,45.93066876666666,-15.484415266666666
2023zsl,ZTF23abkndtq,,,,19.7874,,2023-12-12T05:55:47.997100,1.0,1.0,,,NT,0.45,19.7874,,16.4702,16.0345,0.44,0.156149,60290.2,60290.2,45.930551,-15.4845537
2023zsm,ZTF23absjlkt,,,,,18.3707,2023-12-17T13:22:02.000617,17.0,17.0,,,NT,0.54,,18.3707,18.2139,17.6179,0.6,0.0148333,60287.6,60295.6,221.29488844210525,3.3327758842105264
