tns_name,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023wpo,ZTF23abouyxs,,-0.3,0.36,20.3065,19.9467,2023-12-13T09:27:20.001602,2,1,,fading,SN,0.22,18.9197,19.8831,21.5979,21.4317,0.17,0.00754167,60262.4,60291.4,153.56530550000002,31.110165675
2023wpq,ZTF23aboqlgp,,-0.12,-0.12,20.2904,20.4122,2023-11-06T05:58:33.003852,3,3,rising/peak,,SN,2.2,20.2904,20.2414,-999.0,-999.0,0.0,0.5,60250.3,60254.2,18.206141080000002,23.025887700000006
2023wpr,ZTF23aboqbbw,,0.27,0.09,19.8485,19.7592,2023-11-13T03:39:04.999671,3,3,rising/peak,,SN,2.33,19.8485,19.7592,19.2977,18.5798,0.72,0.0659643,60252.2,60261.2,348.11110260000004,-8.203004833333333
2023wps,ZTF23abopygy,,0.15,0.01,20.0123,20.0031,2023-11-13T05:36:10.002243,4,4,rising/peak,,SN,0.29,20.0123,20.0031,21.8099,21.2824,0.53,,60250.2,60261.2,7.521515885714286,12.16709852857143
2023wpt,ZTF23abopyex,,0.07,-0.04,19.8863,19.9302,2023-11-15T03:29:19.000312,7,7,,fading,SN,0.74,19.6515,19.7049,21.035,20.9284,0.11,0.004375,60250.2,60263.1,353.42476409999995,-2.357192955555556
2023wpu,ZTF23abopjyr,,0.18,0.01,20.4186,20.4098,2023-11-13T04:50:31.001289,3,3,,fading,SN,0.58,20.4186,20.1602,22.0528,21.4366,0.62,,60250.2,60261.2,356.04673357999997,22.751670089999998
2023wpv,ZTF23abopfht,,-0.03,-0.19,19.9777,20.1639,2023-11-11T03:29:52.998725,5,5,,,SN,0.63,19.9777,19.9968,20.6852,20.1517,0.53,0.00125,60250.2,60259.1,343.4434048,10.2374180625
2023wqa,ZTF23abojorz,,-0.66,-1.15,19.375,20.52,2023-12-13T03:46:49.002227,4,1,,fading,SN,0.32,19.375,19.445,21.2761,20.6985,0.58,0.010625,60262.2,60291.2,28.712289520000002,26.94217994
2023wqb,ZTF23abojogf,,-0.01,0.34,20.4075,20.071,2023-11-14T06:17:33,11,11,,fading,SN,0.44,19.5035,19.7768,20.0807,19.7016,0.38,0.001875,60249.4,60262.3,33.46185704166667,23.972942474999996
2023wqc,ZTF23abojoct,,0.12,0.06,20.5704,20.513,2023-11-14T06:17:33,7,7,,fading,SN,0.25,19.7932,20.0128,20.5705,19.5693,1.0,,60249.4,60262.3,28.80880075454546,27.63510831818182
2023wqe,ZTF23aboilcq,,0.5,0.58,20.5872,20.0118,2023-12-13T12:12:37.995849,1,1,,,SN,3.32,20.449,20.0118,21.8208,-999.0,1020.82,0.003125,60263.5,60291.5,165.2389459,31.73231325
2023wqg,ZTF23abognnq,,0.11,0.13,20.5525,20.4224,2023-11-06T05:36:30.003822,1,1,,,SN,4.73,20.5108,20.3561,20.461,20.0677,0.39,,60250.3,60254.2,8.069439880000001,25.695303619999997
2023wqh,ZTF23aboetce,,-0.36,-0.68,19.2494,19.9342,2023-12-13T02:39:55.998725,4,1,,fading,SN,0.51,19.2494,19.1622,21.9335,21.8428,0.09,0.000833333,60261.2,60291.1,356.5765417,22.32116246
2023wqj,ZTF23abnrfyf,,-0.32,0.23,20.6928,20.4621,2023-12-13T12:13:19.001296,3,2,,fading,NT,0.19,19.7055,20.4621,20.4423,20.3222,0.12,,60263.5,60291.5,169.9561295,30.298391579999997
2023wqk,ZTF23abncnlb,,,,19.5968,,2023-11-12T11:46:28.004165,4,4,,,NT,0.33,19.4697,,19.4808,19.5459,-0.07,0.00416667,60251.5,60260.5,178.54584079999998,56.43524775
2023wql,ZTF23abjjdfi,,,,,19.9331,2023-11-04T07:54:04.003189,1,1,,,SN,1.63,,19.9331,19.4372,19.1571,0.28,0.0112083,60252.3,60252.3,19.6076536,19.4724188
2023wqm,ZTF23abnnftm,,0.1,0.4,20.177,19.7746,2023-11-05T07:23:14.999984,6,6,,fading,SN,1.11,19.2496,19.5567,19.6436,18.7349,0.91,,60244.3,60253.3,53.7201455,18.414984800000003
2023wqn,ZTF23abmknqf,,,,20.5609,,2023-10-21T06:23:44.001609,1,1,,,SN,1.28,20.5609,,-999.0,20.6294,-1019.63,0.5,60238.3,60238.3,15.1714523,10.2243032
2023wqp,ZTF23abpsjkf,,0.06,0.09,19.9665,19.8806,2023-11-14T10:09:23.002563,8,8,rising/peak,,SN,1.43,19.8876,19.8806,19.325,18.3693,0.96,0.00966667,60257.4,60262.4,64.57636543333334,1.0579205333333332
2023wqq,ZTF18abxtoqz,SN Ia,-0.09,0.25,19.1992,18.9506,2023-11-13T07:09:40.999694,9,9,,fading,NT,0.89,18.7424,18.4054,18.2453,17.5887,0.66,0.4455,60249.2,60261.3,29.050024690909094,1.0333295363636366
