TNS_ID,RA,DEC,DiscoveryDate,Mag,MagUnit,Filter,Reporter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Gal_1_dist,Gal_1_z
2023tnc,23:12:21.562,-22:07:36.20,2023-09-24 07:02:46.997,18.7409,ABMag,g - ZTF,F. Forster,3.896,Galaxy,LEDA  818845,['LEDA  818845' '348.09' '-22.128' '3.896' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tmp,06:50:31.739,-20:19:52.80,2023-09-24 08:26:59.712,18.817,ABMag,orange - ATLAS,J. Tonry,4.424,Galaxy,2MASX J06503186-2019487,['2MASX J06503186-2019487' '102.633' '-20.33' '4.424' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tmp,06:50:31.739,-20:19:52.80,2023-09-24 08:26:59.712,18.817,ABMag,orange - ATLAS,J. Tonry,4.424,Galaxy,2MASX J06503186-2019487,['2MASX J06503186-2019487' '102.633' '-20.33' '4.424' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tmp,06:50:31.739,-20:19:52.80,2023-09-24 08:26:59.712,18.817,ABMag,orange - ATLAS,J. Tonry,4.424,Galaxy,2MASX J06503186-2019487,['2MASX J06503186-2019487' '102.633' '-20.33' '4.424' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tmp,06:50:31.739,-20:19:52.80,2023-09-24 08:26:59.712,18.817,ABMag,orange - ATLAS,J. Tonry,4.424,Galaxy,2MASX J06503186-2019487,['2MASX J06503186-2019487' '102.633' '-20.33' '4.424' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tnn,07:40:55.306,+56:29:21.16,2023-09-24 11:18:10.996,17.7303,ABMag,r - ZTF,F. Forster,2.692,Galaxy,LEDA 2538367,['LEDA 2538367' '115.231' '56.489' '2.692' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tnn,07:40:55.306,+56:29:21.16,2023-09-24 11:18:10.996,17.7303,ABMag,r - ZTF,F. Forster,2.692,Galaxy,LEDA 2538367,['LEDA 2538367' '115.231' '56.489' '2.692' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tnn,07:40:55.306,+56:29:21.16,2023-09-24 11:18:10.996,17.7303,ABMag,r - ZTF,F. Forster,2.692,Galaxy,LEDA 2538367,['LEDA 2538367' '115.231' '56.489' '2.692' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tnn,07:40:55.306,+56:29:21.16,2023-09-24 11:18:10.996,17.7303,ABMag,r - ZTF,F. Forster,2.692,Galaxy,LEDA 2538367,['LEDA 2538367' '115.231' '56.489' '2.692' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tqr,07:54:40.820,+23:03:23.65,2023-09-25 14:42:31.968,19.8,ABMag,w - P1,K. C. Chambers,2.486,Galaxy,SDSS J075440.72+230325.7,['SDSS J075440.72+230325.7' '118.67' '23.057' '2.486' 'inf' 'Galaxy' 'G'],PairG,[PA2008] 118.669669+23.05716,"['[PA2008] 118.669669+23.05716' '118.67' '23.057' '2.555' 'inf' 'PairG'
 'PaG']",BrightestCG,SDSS J075441.21+230324.1,"['SDSS J075441.21+230324.1' '118.672' '23.057' '5.407' 'inf' 'BrightestCG'
 'BiC']",,
2023tqr,07:54:40.820,+23:03:23.65,2023-09-25 14:42:31.968,19.8,ABMag,w - P1,K. C. Chambers,2.486,Galaxy,SDSS J075440.72+230325.7,['SDSS J075440.72+230325.7' '118.67' '23.057' '2.486' 'inf' 'Galaxy' 'G'],PairG,[PA2008] 118.669669+23.05716,"['[PA2008] 118.669669+23.05716' '118.67' '23.057' '2.555' 'inf' 'PairG'
 'PaG']",BrightestCG,SDSS J075441.21+230324.1,"['SDSS J075441.21+230324.1' '118.672' '23.057' '5.407' 'inf' 'BrightestCG'
 'BiC']",,
2023tre,07:57:43.579,+27:19:42.68,2023-09-25 14:46:14.880,21.22,ABMag,w - P1,K. C. Chambers,4.459,Galaxy,LEDA 1804664,['LEDA 1804664' '119.432' '27.327' '4.459' 'inf' 'Galaxy' 'G'],,,,,,,,
