TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2021ahyo,ZTF21aayebwx,,982.019853648264,0.19,0.5,20.4993,20.0005,2021-05-09T07:35:15.999374,5.0,4.0,,fading,NT,1.31,19.6311,19.5385,19.7481,19.0277,0.72,0.0005,59325.4,59343.3,223.70860413333327,10.845754611111111
2023vbg,ZTF23abkhwgb,,13.875453392975032,0.44,0.51,20.328,19.8196,2023-12-15T12:58:31.995834,7.0,7.0,rising/peak,,SN,0.89,20.2746,19.8196,-999.0,-999.0,0.0,0.5,60288.4,60293.5,115.93244395,34.37504636
2018mjo,ZTF18accvkpt,,1883.789668248035,0.08,0.51,20.2381,19.7232,2018-11-21T10:48:31.000328,7.0,6.0,,fading,NT,1.19,19.5202,19.6674,19.7198,19.5588,0.16,0.01,58426.5,58443.5,175.15375872857143,42.60599908571429
2023wyp,ZTF23ablafxe,,44.88969646114856,0.16,0.51,20.5332,20.0188,2023-11-14T11:27:07.004142,10.0,4.0,,fading,SN,3.16,19.5045,19.3319,19.178,18.6122,0.57,0.057256,60234.4,60262.5,126.74948782105264,56.11080197368421
2023you,ZTF20aaifdgn,,1433.9069442427715,0.59,0.51,19.6852,19.1752,2023-12-12T12:37:19.997749,4.0,4.0,,,VS,0.06,19.6852,19.0555,20.2573,19.6424,0.61,0.973083,60288.5,60290.5,182.517368075,-12.2957836
2023utp,ZTF23abjhsib,,49.9456889340654,0.38,0.51,20.423,19.9099,2023-11-11T08:04:18.998405,13.0,3.0,,fading,SN,1.94,19.6398,19.2052,19.9914,19.084,0.91,0.00908333,60231.4,60259.3,61.40961119375,-10.38630341875
2023zyw,ZTF23abtnhdq,,18.781015472020957,0.51,0.51,20.4701,19.9563,2023-12-12T12:57:44.000640,1.0,1.0,rising/peak,,SN,0.42,20.4701,19.9563,21.668,21.4866,0.18,0.00541667,60290.5,60290.5,222.0708309,29.9536591
2023aacf,ZTF23abtehbu,,0.177496972028166,0.47,0.51,20.0407,19.532,2023-12-29T04:27:30.000976,3.0,2.0,,fading,SN,0.26,19.8322,19.532,19.8163,18.7606,1.06,0.0174167,60290.2,60307.2,37.809054369230765,44.83671315384616
2023xip,ZTF23abpydvb,SN II,12.82292364956811,0.48,0.51,19.3976,18.8902,2023-12-18T11:07:03.996467,8.0,8.0,,fading,SN,2.67,19.1359,18.7687,21.1814,20.8038,0.38,0.5,60287.3,60296.5,121.17900317333331,8.715587333333334
2023upu,ZTF23ablgixi,,74.10637680441141,0.18,0.51,20.6238,20.1185,2023-10-22T08:09:15.998405,4.0,4.0,,fading,SN,1.49,20.3272,20.0585,20.781,20.0576,0.72,0.0255417,60231.3,60239.3,351.4725849375,19.113778662500003
2023xlj,ZTF23abpdvtb,,54.99862471502274,0.25,0.51,20.1746,19.6667,2023-12-06T03:04:25.999687,5.0,1.0,,fading,SN,5.37,19.3306,19.2314,20.7177,20.3433,0.37,,60254.2,60284.1,348.9882216,-2.169409633333333
2023wjl,ZTF23abghkdc,,53.176483049057424,0.18,0.51,20.4454,19.9305,2023-11-06T04:49:27.998413,14.0,1.0,,fading,SN,1.72,19.2283,19.2379,20.9481,19.96,0.99,0.5,60226.3,60254.2,355.02908550000006,-0.4830069277777777
2023yhg,ZTF23abrerua,,16.90307566942647,-0.17,0.52,20.048,19.5261,2023-12-12T11:28:07.000320,1.0,1.0,,fading,SN,4.55,19.7186,19.5261,19.4024,18.4179,0.98,0.0281667,60262.5,60290.5,123.684230575,7.259473025
2023yjk,ZTF18acafgfq,,44.178330746944994,0.44,0.52,19.55,19.0271,2023-12-12T03:34:33.997444,5.0,3.0,,fading,AGN,0.05,18.3993,17.8215,18.6031,18.3244,0.28,0.997083,60261.2,60290.1,353.8350505714285,-1.519285342857143
2023wig,ZTF23abgznvq,,70.90479324897751,0.44,0.52,20.4663,19.9474,2023-10-21T09:09:37.998718,14.0,10.0,,fading,SN,1.03,19.5997,19.1781,19.4652,18.6889,0.78,,60213.4,60238.4,61.45146798333334,26.514427422222223
2023wyi,ZTF23ablauns,,61.85909456107765,0.71,0.52,20.0175,19.4974,2023-10-31T11:49:45.998382,10.0,8.0,rising/peak,,NT,0.63,20.0175,19.4005,19.3953,18.6757,0.72,0.0197083,60232.4,60248.5,123.77901278000002,30.49211503
2023aaiq,ZTF23abhwkkv,,70.11126719415188,-0.01,0.52,21.0052,20.4883,2023-10-22T08:09:57.003852,4.0,4.0,,fading,SN,0.7,20.3736,20.3369,21.0903,20.6887,0.4,0.011375,60221.2,60239.3,351.9992577153846,23.40328933846154
2019aatq,ZTF19aavoqbe,,1674.8957482483238,0.5,0.52,20.8648,20.3423,2019-06-13T07:25:39.996459,3.0,3.0,,fading,SN,2.77,20.6481,20.0712,,,,,58635.4,58647.3,262.9598449153846,33.02204752307693
2021ahzs,ZTF21abutvjt,,853.0379857867956,0.33,0.52,20.8331,20.314,2021-09-09T03:38:00.000953,4.0,3.0,,fading,NT,0.78,19.9179,19.71,-999.0,-999.0,0.0,0.5,59436.2,59466.2,249.70471835625,27.872799375
2023udb,ZTF23abhyroo,SN II,16.107172356918454,0.68,0.52,20.2726,19.755,2023-12-13T05:50:18.000946,5.0,3.0,,fading,NT,0.4,20.1589,19.2839,18.5384,17.98,0.56,0.0947798,60261.3,60291.2,66.27404786,-10.31446348
