TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,SDSS_image,Gal_3_type,Gal_3_ABS_Mag,Gal_3_dist,Gal_3_z,Gal_3_info,Reporter
2023uux,10:40:40.277,+05:54:05.79,2023-10-13 12:39:26.997,2023-10-14,19.5457,ABMag,r - ZTF,0.2180099801642677,0.1231485917964104,Galaxy,-15.786191039215897,116.51402568061096,0.0271,"['160.167786' '5.901658' 'Galaxy' '116.51402568061097' '0.0271'
 '0.21800998016426773' '0.12314859179641041']",,,,,,No,,,,,,F. Forster
2023aagn,08:31:12.273,+38:56:27.27,2023-12-13 08:40:57.999,2023-12-18,20.9591,ABMag,r - ZTF,0.0291820258510429,0.1256714359102337,Galaxy,-18.783631368114012,888.272615795427,0.2158,"['127.801147' '38.940905' 'Galaxy' '888.272615795427' '0.2158'
 '0.02918202585104291' '0.12567143591023372']",Galaxy,-19.879433583703992,1471.3185712197642,0.3715,"['127.801803' '38.940986' 'Galaxy' '1471.3185712197642' '0.3715'
 '1.8842988255766833' '13.440993188488536']",No,Galaxy,-19.890519258029656,1478.8490667644996,0.3736,"['127.80067' '38.93971' 'Galaxy' '1478.8490667644996' '0.3736'
 '4.508234693812862' '32.32252166957381']",F. Forster
2018mgo,13:24:26.882,+37:02:58.39,2018-12-13 12:20:51.936,2023-10-14,19.8759,ABMag,r - ZTF,0.0432857572899077,0.1335609518853868,Galaxy,-19.14289809534668,636.4431536749744,0.1523,"['201.112018' '37.049562' 'Galaxy' '636.4431536749744' '0.1523'
 '0.04328575728990772' '0.13356095188538686']",,,,,,No,,,,,,Patrick Aleo (UIUC)
2023xfr,17:46:03.240,+66:43:15.17,2023-11-02 02:48:28.800,2023-11-10,19.36,ABMag,r - ZTF,0.1123511556430657,0.144994877975152,Galaxy,-17.766001250819883,266.195218449932,0.0624,"['266.51343' '66.720895' 'Galaxy' '266.19521844993193' '0.0624'
 '0.11235115564306578' '0.14499487797515204']",,,,,,No,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2019aatm,12:50:06.583,+27:01:13.62,2019-01-03 12:08:08.160,2023-10-14,20.6875,ABMag,r - ZTF,0.0441452888932995,0.1521968562953317,Galaxy,-18.57223225892168,711.1258269144539,0.17092,"['192.527432' '27.020462' 'Galaxy' '711.1258269144539' '0.17092'
 '0.0441452888932995' '0.15219685629533175']",,,,,,Yes,,,,,,Patrick Aleo (UIUC)
2021ahwt,12:40:53.371,-06:14:52.88,2021-01-01 13:00:47.808,2023-10-14,19.374,ABMag,r - ZTF,0.0589538979081183,0.1564307535818485,Galaxy,-19.31717372798551,547.3117168225265,0.1303,"['190.222371' '-6.248008' 'Galaxy' '547.3117168225265' '0.1303'
 '0.058953897908118315' '0.15643075358184852']",,,,,,No,,,,,,Patrick Aleo (UIUC)
2023aazl,01:50:42.472,-03:02:39.10,2023-10-18 09:05:45.600,2023-12-24,21.5,ABMag,w - P1,0.0274615817217715,0.162141861078489,Galaxy,-18.927973694574497,1217.8526316180507,0.3022,"['27.676965' '-3.044187' 'Galaxy' '1217.8526316180507' '0.3022'
 '0.02746158172177156' '0.16214186107848907']",,,,,,No,,,,,,K. C. Chambers
2023aakn,11:23:20.257,+05:51:07.40,2023-12-13 15:23:29.184,2023-12-19,18.326,ABMag,orange - ATLAS,0.2102929824895398,0.163697909342607,Galaxy,-17.70221742793933,160.56226485702447,0.03743,"['170.83435' '5.852033' 'Galaxy' '160.56226485702447' '0.03743'
 '0.21029298248953981' '0.16369790934260708']",,,,,,Yes,,,,,,J. Tonry
2023zgg,13:06:31.202,+49:51:39.27,2023-12-09 10:42:14.400,2023-12-10,18.72,ABMag,r - ZTF,0.2381035534363956,0.1670623969115245,Galaxy,-17.08268982262348,144.72313595359856,0.03371,"['196.629963' '49.860849' 'Galaxy' '144.72313595359856' '0.03371'
 '0.23810355343639564' '0.16706239691152452']",,,,,,Yes,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zsm,14:45:10.781,+03:19:58.05,2023-12-09 13:25:05.376,2023-12-13,18.7899,ABMag,r - ZTF,0.3148848975436256,0.1738903739737013,Galaxy,-16.492844214943883,113.90658798734955,0.02649,"['221.294834' '3.33278' 'Galaxy' '113.90658798734955' '0.02649'
 '0.3148848975436256' '0.17389037397370138']",,,,,,Yes,,,,,,K. De (Caltech) on behalf of ZTF
